title,genre,producer,country,country_duble,year,year_duble,imdb
Баллада о маленькой Джо,"Жанры игрового кино,Вестерн","(['Гринвальд, Мэгги (страница отсутствует)'],)",США,,,1993,6.7
Баллада о Кэйбле Хоге,"Жанры игрового кино,Драма,Мелодрама,Комедия,Вестерн","(['Пекинпа, Сэм'],)",США,,,1970,7.2
Баллада о комиссаре,Жанры игрового кино,"(['Сурин, Александр Владимирович'],)",СССР,,,1967,5.1
Бандиты,"Жанры игрового кино,Кинокомедия","(['Левинсон, Барри'],)",США,,,2001,6.5
Бандитский Йоханнесбург,"Жанры игрового кино,Драма (жанр),Боевик (киножанр)","(['Ральф Зиман (страница отсутствует)'],)",ЮАР,,,2008,7.3
Бандитская империя,"Жанры игрового кино,Фильм нуар,Гангстерский фильм","(['Джозеф Кейн (страница отсутствует)'],)",,Соединённые Штаты Америки,,1952,6.0
Бандитки,"Жанры игрового кино,Вестерн,Кинокомедия","(['Сандберг, Эспен', 'en:Joachim Rønning'],)",,,,2006,5.7
Барбара,"Жанры игрового кино,Драма (жанр)","(['Кристиан Петцольд'],)",Германия,,,2012,7.2
Барб и Звезда едут в Виста дель Мар,"Жанры игрового кино,Кинокомедия","(['Гринбаум, Джош (страница отсутствует)'],)","США,Мексика",,,2021,6.3
Бараны,"Жанры игрового кино,Драма (жанр)","(['Гримур Хаконарсон'],)","Исландия,Дания,Норвегия,Польша",,,2015,7.2
Барбаросса,"Жанры игрового кино,Исторический фильм,d:Q3327002","([],)",,Италия,"9 октября,2009", ,4.4
Барбарелла,Жанры игрового кино,"([],)","Франция,Италия",,,1968,5.8
Барби,"Жанры игрового кино,Фэнтезийная комедия","(['Гервиг, Грета'],)",США,,,2023,6.9
Барбара Радзивилл,"Жанры игрового кино,Исторический фильм,Мелодрама","(['Лейтес, Юзеф (страница отсутствует)'],)",,Польская Республика (1918—1939),,1936,5.9
Барака встречает Барака,"Жанры игрового кино,Комедийная драма","(['Саббах, Махмуд (страница отсутствует)'],)",Саудовская Аравия,,,2016,6.3
Барака,"Жанры игрового кино,Документальный фильм","(['Фрике, Рон'],)",,Соединённые Штаты Америки,,1992,8.5
Барак,"Жанры игрового кино,Драма (жанр),Мелодрама","(['Огородников, Валерий Геннадьевич'],)","Россия,Германия",,,1999,6.4
Барабаны долины Мохок,"Жанры игрового кино,Драма (жанр),Военный фильм","(['Форд, Джон (режиссёр)'],)",,Соединённые Штаты Америки,1939,,7.0
Барабаниада,"Жанры игрового кино,Трагикомедия","(['Овчаров, Сергей Михайлович'],)","Россия,Франция",,,1993,7.2
Барабаниада,"Жанры игрового кино,Кинокомедия,Фильм-сказка,Фантастический фильм","(['Овчаров, Сергей Михайлович'],)",СССР,,,,5.9
Барабан в ночи,"Жанры игрового кино,Фильм-драма","(['Тадаси Имаи'],)",Япония,,,,7.3
Барабан,"Жанры игрового кино,Драматический фильм","([],)",,,,2004,6.4
Бар-закусочная «Будапешт»,"Жанры игрового кино,Драма (жанр)","(['Брасс, Тинто'],)",Италия,,,1988,4.1
Бар «Гадкий койот»,"Жанры игрового кино,Музыкальный фильм,Комедийная драма","(['Дэвид МакНэлли (страница отсутствует)'],)",США,,"2000,7 сентября,2000", ,5.7
Банши Инишерина,"Жанры игрового кино,Чёрный юмор,Трагикомедия","(['Макдонах, Мартин'],)","Ирландия,США,Великобритания",,,2022,7.7
Банти и Бабли,"Жанры игрового кино,Кинокомедия,Криминальный фильм,Приключенческий фильм","(['Шаад Али (страница отсутствует)'],)",Индия,,2005,,6.2
Банни Лейк исчезает,"Жанры игрового кино,Детектив","(['Отто Премингер'],)",Великобритания,,,1965,7.3
