title,genre,producer,country,country_duble,year,year_duble,imdb
Баба Яга спасает мир,Жанры игрового кино,"([],)",Россия,,,2023,4.4
Баба Яга,"Жанры игрового кино,Эротика,Фильм ужасов,Джалло","([],)","Италия,Франция",,1973,,5.7
Баба Джун,"Жанры игрового кино,Драматический фильм","([],)",,Израиль,2015,,6.7
Адвокат,"Жанры игрового кино,Драма (жанр)","(['Уильям Уайлер'],)",США,,,1933,7.5
Адаптация,"Жанры игрового кино,Трагикомедия,Музыкальный жанр,Музыка к фильму","(['Джонз, Спайк'],)","США,США",,,2002,7.7
Адамовы яблоки,"Жанры игрового кино,Кинокомедия,Драма (жанр),Криминальный фильм","(['Йенсен, Андерс Томас'],)","Дания,Германия",,,2005,7.7
Адам хочет быть человеком,"Жанры игрового кино,Драма (жанр)","(['Жалакявичюс, Витаутас Пранович'],)",СССР,,,1959,7.3
Адам и Хева,Жанры игрового кино,"(['Коренев, Алексей Александрович'],)",СССР,,,1969,7.4
Адам и Стив,"Жанры игрового кино,Кинокомедия","([],)",США,,,2005,5.8
Адам женится на Еве,"Жанры игрового кино,Кинокомедия,Драма (жанр)","([],)",,Союз Советских Социалистических Республик,1980,,6.3
Адам,"Жанры игрового кино,Драма (жанр),Мелодрама","([],)",США,,,2009,7.1
Адажио,Жанры игрового кино,"([],)",,Италия,2023,,6.8
Ада! Это же неудобно!,"Жанры игрового кино,Кинокомедия","([],)",,Польша,1936,,6.5
"Ад, или Досье на самого себя","Жанры игрового кино,Драматический фильм","(['Беглов, Геннадий Александрович'],)",СССР,,,1989,6.5
Ад Танжера,"Жанры игрового кино,Драма (жанр)","([],)",Бельгия,,,2006,7.1
Ад по соседству,"Жанры игрового кино,Драматический фильм,Фильм ужасов,Фильм-триллер","([],)",,Соединённые Штаты Америки,2019,,5.8
Ад каннибалов 3,"Жанры игрового кино,Ужасы,Приключения","([],)",,,,1977,5.9
Ад каннибалов,"Жанры игрового кино,Ужасы","(['Деодато, Руджеро'],)",Италия,,,1980,5.8
Ад и небо,"Жанры игрового кино,Кинофантастика,Кинокомедия","(['Ружевич, Станислав'],)",Польша,,,1966,6.9
Ад живых мертвецов,"Жанры игрового кино,Фильм ужасов","(['Маттеи, Бруно', 'Фрагассо, Клаудио'],)","Италия,Испания",,,1980,4.9
Ад в Тихом океане,"Жанры игрового кино,Приключенческий фильм,Боевик (киножанр)","(['Бурмен, Джон'],)",США,,,1968,7.3
Ад в заливе Фриско,"Жанры игрового кино,Нуар","(['Таттл, Фрэнк'],)",США,,,1956,6.4
Ад,"Жанры игрового кино,Детектив,Драма (жанр),Чёрный юмор","(['Эстрада, Луис (страница отсутствует)'],)",Мексика,,,2010,7.7
Ад,"Жанры игрового кино,Драма (жанр)","(['Клод Шаброль'],)",Франция,,,1994,7.0
Ад,"Жанры игрового кино,Немой кинематограф,Драматический фильм","([],)",,Италия,1911,,7.0
Агрессивные дамочки / Нападения 5-футовых женщин,"Жанры игрового кино,Кинокомедия,Пародия","(['Джули Браун', 'Ричард Уэнк (страница отсутствует)'],)",США,,,1994,4.4
Агора,"Жанры игрового кино,Биография,Драма (жанр),Приключенческий фильм,Исторический фильм,Пеплум (жанр)","(['Алехандро Аменабар'],)","Испания,Мальта,Португалия,Франция,США",,,2009,7.1
Агония,"Жанры игрового кино,Исторический фильм,Драматический фильм","(['Климов, Элем Германович'],)",СССР,,,,7.0
Ад в поднебесье,"Жанры игрового кино,Фильм-катастрофа","(['Гиллермин, Джон'],)",США,,,1974,7.0
Агнец,"Жанры игрового кино,Драма (жанр),Фолк-хоррор","([],)",,"Исландия,Швеция,Польша",,2021,6.3
Агнесса Божья,"Жанры игрового кино,Драма (жанр),Триллер","(['Джуисон, Норман'],)",США,,,1985,6.6
Агитбригада «Бей врага!»,"Жанры игрового кино,Комедия,Драма (жанр)","(['Мельников, Виталий Вячеславович'],)",Россия,,2007,,6.9
"Агирре, гнев Божий","Жанры игрового кино,Драма (жанр),Приключенческий фильм","(['Херцог, Вернер'],)",,,,1972,7.8
Агенты Сокол и Снеговик,"Жанры игрового кино,Драма (жанр),Триллер","(['Шлезингер, Джон'],)","Великобритания,США",,,1985,6.8
Агенты КГБ тоже влюбляются,"Жанры игрового кино,Комедия положений","(['Себастьян Аларкон'],)",,,,1991,5.3
Агенты казначейства,"Жанры игрового кино,Нуар (кино)","(['Энтони Манн'],)",,Соединённые Штаты Америки,,1947,6.9
Агенты А.Н.К.Л.,"Жанры игрового кино,Боевик (жанр)","(['Ричи, Гай'],)",США,,,2015,7.2
Агент-невидимка,"Жанры игрового кино,Фильм ужасов,Фантастический фильм","(['Эдвин Л. Марин'],)",США,,,1942,6.0
Агент секретной службы,"Жанры игрового кино,Детектив,Шпионский фильм,Драматический фильм","([],)",СССР,,,1978,7.0
Агент под прикрытием,"Жанры игрового кино,Криминальный фильм,Комедийный боевик (кино)","([],)",США,,,,5.0
Агент по кличке Спот,"Жанры игрового кино,Боевик (киножанр),Кинокомедия","(['Джон Уайтселл (страница отсутствует)'],)",США,,,2001,5.4
Агент по имени Далила,"Жанры игрового кино,Триллер","(['Ричард Франклин'],)",,,,1992,4.8
Агент особого назначения,"Жанры игрового кино,Детектив","(['Константин Статский (страница отсутствует)', 'Наталья Шабанова (страница отсутствует)', 'Андрей Элинсон (страница отсутствует)'],)",Россия,,,,7.6
Агент Коди Бэнкс 2: Пункт назначения - Лондон,"Жанры игрового кино,Комедия","([],)",США,,,2004,4.5
Баария,"Жанры игрового кино,Драма (жанр),Кинокомедия","(['Джузеппе Торнаторе'],)","Италия,Франция",,,2009,6.9
Ба-бах,"Жанры игрового кино,Кинокомедия,Кинофантастика","(['Грегг Араки'],)","США,Франция",,,2010,5.7
Агент Коди Бэнкс,"Жанры игрового кино,Комедия,Пародия,Боевик (киножанр)","(['en:Harald Zwart'],)",США,,,2003,5.1
Агент Картер,"Жанры игрового кино,Короткометражный фильм,Боевик (киножанр),Приключенческий фильм,Научная фантастика в кинематографе","([],)",США,,,2013,7.4
Агент Ева,Жанры игрового кино,"(['Тейт Тейлор'],)",США,,"25 сентября,2020,2 июля,2020"," , ",5.5
Агент Джонни Инглиш: Перезагрузка,"Жанры игрового кино,Кинокомедия,Пародия,Боевик (киножанр),Приключения","(['Паркер, Оливер'],)","Великобритания,США,Франция",,,2011,6.3
Агент Джонни Инглиш 3.0,"Жанры игрового кино,Кинокомедия,Пародия,Боевик (киножанр)","([],)","Великобритания,Франция",,,2018,6.2
Агент Джонни Инглиш,"Жанры игрового кино,Комедия,Боевик (киножанр)","(['Хауитт, Питер (страница отсутствует)'],)","Великобритания,Франция",,,2003,6.2
Агент 117: Миссия в Рио,"Жанры игрового кино,Кинокомедия,Боевик (киножанр)","(['Хазанавичус, Мишель'],)",Франция,,,2009,6.8
Агент 117:,"Жанры игрового кино,Кинокомедия,Боевик (киножанр),Музыкальный жанр,Поп-музыка,Фолк,Джаз","(['Хазанавичус, Мишель'],)",Франция,,,2006,7.0
Агент 117: Из Африки с любовью,"Жанры игрового кино,Шпионский фильм,Кинокомедия","([],)",,Франция,,2021,5.8
Агент,"Жанры игрового кино,Боевик (киножанр)","(['Норрис, Аарон'],)",США,,,1991,5.3
Агата,"Жанры игрового кино,Драма (жанр),Триллер","(['Эптед, Майкл'],)",Великобритания,,,1979,6.2
Автострада,"Жанры игрового кино,Фильм ужасов,Триллер,Мистический фильм","(['Гаррис, Мик'],)",,Соединённые Штаты Америки,,,4.8
Автостопом по галактике,"Жанры игрового кино,Приключенческий фильм,Кинокомедия,Кинофантастика","(['Гарт Дженнингс'],)","США,Великобритания",,,2005,6.7
Автостоп,"Жанры игрового кино,Мелодрама (жанр),Комедийная драма","(['Михалков, Никита Сергеевич'],)","СССР,Италия,Швейцария",,,1990,5.9
Авторитет,"Жанры игрового кино,Боевик (киножанр),Триллер","([],)",США,,,,5.0
Автора! Автора!,"Жанры игрового кино,Мелодрама","(['Хиллер, Артур'],)",США,,1982,,6.2
Автор,Жанры игрового кино,"([],)","Испания,Мексика",,,2017,6.5
Автопробег «Париж — Нью-Йорк»,Жанры игрового кино,"(['Мельес, Жорж'],)","Франция,Нью-Йорк,Германия",,,1908,5.5
Автомобильные воры,"Жанры игрового кино,Драма (жанр)","(['Блэктон, Джеймс Стюарт'],)",США,,,,7.7
"Автомобиль, скрипка и собака Клякса","Жанры игрового кино,Кинокомедия,Музыкальный фильм,Фильм-сказка","(['Быков, Ролан Антонович'],)",СССР,,,1974,6.7
Автомобиль на крыше,Жанры игрового кино,"(['Кесаянц, Дмитрий Гагикович'],)",СССР,,,1980,3.8
Автомобиль,"Жанры игрового кино,Фильм ужасов,Фильм-тайна,Фильм-триллер","([],)",,Соединённые Штаты Америки,"13 мая,1977,13 августа,1977,15 сентября,1977,28 сентября,1977,10 октября,1977,10 ноября,1977,23 ноября,1977,22 декабря,1977,23 декабря,1977,19 января,1978,2 июня,1978,22 июня,1978,4 мая,1979,1980"," , , , , , , , , , , , , ,февраль ",6.1
"Автомобили, которые съели Париж","Жанры игрового кино,Фильм ужасов,Кинокомедия","(['Питер Уир'],)",Австралия,,,1974,5.6
Автомат,"Жанры игрового кино,Документальное кино","([],)",,Соединённые Штаты Америки,,2021,7.8
Автокатастрофа,"Жанры игрового кино,Драма (жанр),Триллер","(['Кроненберг, Дэвид'],)",,"Канада,d:Q839133,Великобритания","17 мая,1996,4 октября,1996,31 октября,1996,1996"," , , ",6.4
Автобусная остановка,"Жанры игрового кино,Кинокомедия,Драматический фильм","(['Логан, Джошуа'],)",США,,,1956,6.3
Автобус отходит в 6.20,"Жанры игрового кино,Драма (жанр),Соцреализм","(['Рыбковский, Ян'],)",Польша,,,1954,5.4
Автобус,Жанры игрового кино,"(['Скоуэн, Арне'],)",Норвегия,,,1961,6.9
Автобан,"Жанры игрового кино,Боевик (киножанр)","([],)","Германия,США,Великобритания",,,2016,5.7
Австрийское поле,"Жанры игрового кино,Драматический фильм","(['Черных, Андрей Васильевич (страница отсутствует)'],)",СССР,,,1991,6.8
Австрийка,"Жанры игрового кино,Драма (жанр),Исторический фильм","(['Гранье-Дефер, Пьер'],)",Франция,,,1989,6.0
Австралия,"Жанры игрового кино,Эпос,Драма (жанр)","(['Лурман, Баз'],)",,"Австралия,Соединённые Штаты Америки,Великобритания","26 ноября,2008,25 декабря,2008,25 декабря,2008"," , , ",6.6
«Аврора»,"Жанры игрового кино,Драма (жанр),Мелодрама","(['Байрак, Оксана Ивановна'],)",Украина,,,2006,5.9
Авраам: Хранитель веры,"Жанры игрового кино,Драма (жанр)","(['Сарджент, Джозеф'],)","США,Италия,Великобритания",,,1994,7.0
Авиценна,"Жанры игрового кино,Биографический фильм,Исторический фильм","(['Камиль Ярматов'],)",СССР,,,1956,6.6
"Авива, любовь моя","Жанры игрового кино,Драматический фильм","([],)",,Израиль,2006,,7.2
Авиатор,"Жанры игрового кино,Фильм-биография,Драма (жанр)","(['Скорсезе, Мартин'],)","США,Япония",,,2004,7.5
Авиапочта,"Жанры игрового кино,Мелодрама,Приключенческий фильм","(['Ирвин Виллат (страница отсутствует)'],)",США,,,1925,6.1
Август без императора,"Жанры игрового кино,Драма (фильм),Триллер","(['Сацуо Ямамото'],)",Япония,,,,6.6
Август,"Жанры игрового кино,Кинокомедия,Драма (жанр)","(['Энтони Хопкинс'],)",Великобритания,,,1996,5.8
"Аватар, или Замена душ","Жанры игрового кино,Кинофантастика,Драма (жанр)","(['Маевский, Януш'],)",Польша,,,1964,6.7
«Аватар: Путь воды»,"Жанры игрового кино,Эпический фильм,Научно-фантастический фильм,Боевик (киножанр),Приключенческий фильм","(['Кэмерон, Джеймс'],)",США,,,,7.6
Аватар,"Жанры игрового кино,Драма (жанр)","(['Галлоне, Кармине'],)",Королевство Италия,,,1916,7.2
Авария,"Жанры игрового кино,Триллер","(['Мостоу, Джонатан'],)",США,,,1997,7.0
Авария,"Жанры игрового кино,Детективный фильм","(['Аллен, Джеймс (режиссёр) (страница отсутствует)'],)","ЮАР,США,Заир",,,1990,3.6
Авария,"Жанры игрового кино,Детектив,Драма (жанр)","(['Жалакявичюс, Витаутас Прано'],)",СССР,,,1974,6.8
Авария (Несчастный случай),"Жанры игрового кино,Боевик (киножанр)","(['Николаеску, Серджиу'],)",,,,1976,6.6
Авария,"Жанры игрового кино,Детектив","(['Абрамов, Александр Абрамович', 'Бирман, Наум Борисович'],)",СССР,,,1965,6.5
Авария — дочь мента,"Жанры игрового кино,Драматический фильм","(['Туманишвили, Михаил Иосифович'],)",СССР,,,,6.6
Аватар,"Жанры игрового кино,Эпический фильм,Научно-фантастический фильм,Боевик (киножанр),Драматический фильм,Приключенческий фильм","(['Кэмерон, Джеймс'],)","США,Великобритания",,,,7.9
Аварийный выход,"Жанры игрового кино,Кинокомедия","(['Роман Залуски (страница отсутствует)'],)",Польша,,,1982,6.7
Авантюристы,"Жанры игрового кино,Приключенческий фильм","([],)",Россия,,,2014,4.1
Авантюристы,"Жанры игрового кино,Драма (жанр),Комедия,Боевик (киножанр),Военный фильм,Приключенческий фильм","(['Анри Вернёй'],)",Франция,,,1984,6.1
Авантюристы,"Жанры игрового кино,Приключенческий фильм","(['Макдональд, Дэвид'],)",Великобритания,,,1951,5.5
Аванти!,"Жанры игрового кино,Кинокомедия","(['Уайлдер, Билли'],)","США,Италия",,,1972,7.2
Авантюра леди Хелен,"Жанры игрового кино,Короткометражное кино","(['Гриффит, Дэвид Уорк'],)",США,,1909,,4.6
Авантюра,Жанры игрового кино,"(['Макаров, Виталий Игнатьевич (страница отсутствует)'],)","Россия,Украина",,,1995,4.2
Аванпост,"Жанры игрового кино,Фильм-триллер,Постапокалиптический фильм,Научно-фантастический фильм","([],)",,Россия,,"2019,Лаврин",6.0
Авангард: Арктические волки,"Жанры игрового кино,Боевик (киножанр)","(['Стэнли Тонг'],)",,Китай,,2020,4.7
Авалон,"Жанры игрового кино,Кинофантастика,Триллер,Драма (жанр),Киберпанк","(['Мамору Осии'],)","Япония,Польша",,,2001,6.4
Авалон,"Жанры игрового кино,Драма (жанр)","(['Левинсон, Барри'],)",США,,,1990,7.2
Ава,"Жанры игрового кино,Драма (жанр)","([],)",,Франция,,2017,6.7
Абу Райхан Беруни,"Жанры игрового кино,Драматический фильм","(['Шухрат Аббасов'],)",СССР,,,1974,6.3
Абсурдистан,"Жанры игрового кино,Комедия","(['Файт Хельмер (страница отсутствует)'],)","Германия,Азербайджан",,,2008,6.7
Абсолютные новички,"Жанры игрового кино,Драма (жанр),Фэнтези,Мелодрама,Мюзикл","([],)",,Великобритания,,1986,5.6
Абсолютная сотня,"Жанры игрового кино,Криминальный фильм,Драма (жанр),Боевик (киножанр),Триллер","(['Срджан Голубович'],)",СР Югославия,,,2001,7.5
В горах моё сердце,"Жанры игрового кино,Кинокомедия","(['Хамдамов, Рустам Усманович'],)",СССР,,"Александр Костомолоцкий,Сергей Годзи,Пётр Репнин,Елена Соловей,Анастасия Боброва","Вячеслав Кулешов,1967",7.3
В год тринадцати лун,"Жанры игрового кино,Драма (жанр)","(['Райнер Вернер Фасбиндер'],)",,,,1978,7.4
В год господень,"Жанры игрового кино,Кинокомедия,Драматический фильм","([],)",,Италия,1969,,7.3
В глубине,"Жанры игрового кино,Драма (жанр)","([],)","Канада,Германия",,,2000,5.9
В далёком сорок пятом...,Жанры игрового кино,"(['Тодоровская, Мира Григорьевна (страница отсутствует)'],)",Россия,,,2015,5.5
В гостях у Элис,"Жанры игрового кино,Драма (жанр),Мелодрама,Комедия","(['Мейерс-Шайер, Холли'],)",США,,,2017,5.8
В городе С.,"Жанры игрового кино,Драма (жанр)","(['Хейфиц, Иосиф Ефимович'],)",СССР,,,1966,6.9
В городе Сочи тёмные ночи,"Жанры игрового кино,Мелодрама,Кинокомедия","(['Пичул, Василий Владимирович'],)",СССР,,,1989,6.5
В горах Югославии,"Жанры игрового кино,Военный фильм,Драма (жанр)","(['Роом, Абрам Матвеевич'],)",СССР,,,1946,5.6
В высокой траве,"Жанры игрового кино,Драматический фильм,Фильм ужасов о сверхъестественном","(['Натали, Винченцо'],)",Канада,,"Дом игрушек Пи-ви,Специальные корреспонденты,Brahman Naman,Перерождение,Таллула,Поцелуй,Талисманы,Я прелесть, живущая в доме,Благодать,Blue Jay,Похищение монет,iБой,Imperial Dreams,День любимой,Раскалённые пески,Дейдра и Лани грабят поезд,Самая ненавистная женщина Америки,Отыграйся,Песочный замок,Бродяги,Мелкие преступления,Красавчик,Озеро Шиммер,Невероятная Джессика Джеймс,Маленькое зло,Наши души по ночам,Водила,Убийца,Принц на Рождество,Рождество в Эль-Камино,Рождественское наследие,Король польки,Годзилла: Планета чудовищ,6 Balloons,Придержи тьму,Come Sunday,A Futile and Stupid Gesture","2019,[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en]",5.5
В воскресенье всегда идёт дождь,"Жанры игрового кино,Криминальный фильм,Драма (жанр)","(['Хеймер, Роберт'],)",,Великобритания,1947,,7.1
В воздухе,"Жанры игрового кино,Драма (жанр)","(['Льоса, Клаудиа'],)","Испания,Канада,Франция",,,2014,5.3
В водовороте неприятностей,"Жанры игрового кино,Кинокомедия","([],)",Индия,,,2005,6.6
"В воде, в которой пузыри",Жанры игрового кино,"([],)",Франция,,,1960,5.5
В воде,,"([],)",,Республика Корея,2023,,6.3
В винном отражении,"Жанры игрового кино,Драма (жанр),Комедия","([],)",,Россия,,2019,7.2
В бреду,"Жанры игрового кино,Короткометражный фильм","(['Стайлз, Джулия'],)",США,,,2007,6.8
В бреду,"Жанры игрового кино,Кинокомедия,Фэнтези","(['Манкевич Том'],)",США,,,1991,5.8
В борьбе за Украину,"Жанры игрового кино,Документальное кино","(['Лопатёнок, Игорь Зиновьевич'],)",США,,,2019,6.8
В бой идут одни «старики»,"Жанры игрового кино,Драма (жанр),Военный фильм","(['Быков, Леонид Фёдорович'],)",,,,1973,8.2
В белом плену,"Жанры игрового кино,Драма (жанр),Исторический фильм,Боевик (киножанр)","(['Несс, Петтер'],)","Норвегия,Швеция",,,2012,7.1
В белом городе,"Жанры игрового кино,Драматический фильм","(['Таннер, Ален'],)","Швейцария,Португалия,Великобритания",,,1983,7.3
В безопасности,"Жанры игрового кино,Боевик (киножанр),Комедия","([],)",,,,2013,5.1
В бездну,"Жанры игрового кино,Документальный фильм","(['Вернер Херцог'],)","США,Германия,Великобритания",,,2011,7.3
В бегах,"Жанры игрового кино,Драма (жанр)","(['Лоури, Дэвид'],)",США,,,2013,6.4
В бегах,"Жанры игрового кино,Детективный фильм,Драма (жанр)","([],)",Гонконг,,,1988,7.1
В баре только девушки,"Жанры игрового кино,Драма (жанр)","(['Марита Джованни (страница отсутствует)'],)",США,,,1994,5.0
В Баку дуют ветры,"Жанры игрового кино,Боевик (жанр),Военный фильм,Драма (жанр),Приключенческий фильм","(['Мухтар Дадашев'],)","СССР,Азербайджанская ССР",,,1974,6.5
В Америке,"Жанры игрового кино,Драма (жанр)","(['Шеридан, Джим'],)","Ирландия,Великобритания",,,,7.7
В активном поиске,"Жанры игрового кино,Комедия,Мелодрама","([],)",США,,,2016,6.1
«В аду»,"Жанры игрового кино,Триллер,Боевик (киножанр),Драма (жанр)","(['Ринго Лам'],)",США,,,2003,6.1
В ад с чёрного хода,"Жанры игрового кино,Военный фильм,Драма (жанр)","(['Хеллман, Монте'],)",США,,,1964,5.2
В августе 44-го…,"Жанры игрового кино,Военный фильм,Боевик (киножанр),Детектив,Драма (жанр)","(['Пташук, Михаил Николаевич'],)","Белоруссия,Россия",,,,7.4
В 26-го не стрелять,Жанры игрового кино,"(['Батыров, Равиль Измаилович'],)",СССР,,,1966,5.4
В компании волков,"Жанры игрового кино,Фильм ужасов,Фэнтези","(['Нил Джордан'],)",Великобритания,,,1984,6.6
«В 6 часов вечера после войны»,"Жанры игрового кино,Мелодрама","(['Пырьев, Иван Александрович'],)",СССР,,,1944,6.7
В 3:10 на Юму,"Жанры игрового кино,Вестерн","(['Дэйвс, Делмер'],)",,Соединённые Штаты Америки,1957,,7.6
В компании мужчин,"Жанры игрового кино,Драма (жанр)","(['Уэллс, Джон (режиссёр)'],)",США,,,2010,6.7
В конце лета,"Жанры игрового кино,Мелодрама","(['Мундров, Дучо'],)",,Народная Республика Болгария,,,5.7
В компании мужчин,"Жанры игрового кино,Драма (жанр),Чёрный юмор","(['Лабут, Нил'],)","Канада,США",,,1997,7.1
В клешнях чёрного рака,"Жанры игрового кино,Приключенческий фильм","(['Лейманис, Александр Оттович'],)",СССР,,,1975,7.0
В клетке,"Жанры игрового кино,Фильм нуар","(['Джон Кромвелл'],)",,Соединённые Штаты Америки,"19 мая,1950", ,7.6
В Китае едят собак,"Жанры игрового кино,Боевик (киножанр),Кинокомедия","(['Спанг Ольсен, Лассе'],)",Дания,,,1999,7.3
В Кейптаунском порту,"Жанры игрового кино,Драма (жанр)","(['Велединский, Александр Алексеевич'],)",Россия,,,2019,4.8
«В квадрате 45»,"Жанры игрового кино,Приключенческий фильм","(['Вышинский, Юрий Михайлович'],)",СССР,,,1955,5.5
В Каролине не любят ворошить прошлое,"Жанры игрового кино,Драма (жанр)","(['Ирмэн, Джон (страница отсутствует)'],)",,,,1991,6.2
В осаде 2: Тёмная территория ,"Жанры игрового кино,Боевик (киножанр)","(['Мёрфи, Джеф'],)",США,,,1995,5.5
В осаде,"Жанры игрового кино,Боевик (киножанр),Триллер","(['Дэвис, Эндрю (режиссёр)'],)",США,,,1992,6.5
Галилео Галилей,"Жанры игрового кино,Байопик,Драма (жанр)","(['Кавани, Лилиана'],)",,"Италия,Народная Республика Болгария",,1968,6.7
Галвестон,"Жанры игрового кино,Боевик (жанр),Триллер,Драма (жанр)","(['Лоран, Мелани'],)",США,,,2018,6.2
Гамлет,"Жанры игрового кино,Драматический фильм","(['Рэмси, Брюс'],)",Канада,,,,4.8
Гамлет,"Жанры игрового кино,Драматический фильм","(['Алмерейда, Майкл'],)",США,,,,5.9
Гамлет,"Жанры игрового кино,Драматический фильм","(['Кеннет Брана'],)","Великобритания,США",,,,7.7
Гамлет,"Жанры игрового кино,Драматический фильм","(['Франко Дзеффирелли'],)","США,Великобритания,Италия",,,1990,6.7
Гамлет,"Жанры игрового кино,Историческая драма","(['Козинцев, Григорий Михайлович'],)",СССР,,,,8.2
Гамлет,"Жанры игрового кино,Драматический фильм","(['Оливье, Лоренс'],)",Великобритания,,,,7.6
Гарем,"Жанры игрового кино,Драма (жанр)","(['Феррери, Марко'],)","Италия,Франция",,,1967,6.5
"Гардемарины, вперёд!","Жанры игрового кино,Исторический фильм,Приключенческий фильм,Фильм плаща и шпаги,Мелодрама","(['Дружинина, Светлана Сергеевна'],)",СССР,,,,7.4
Гарри Поттер и Принц-полукровка,"Жанры игрового кино,Приключенческий фильм,Фэнтези,Драма (жанр),Триллер","(['Йейтс, Дэвид'],)","Великобритания,США",,,2009,7.6
Гарри Поттер и Орден Феникса,"Жанры игрового кино,Приключенческий фильм,Фэнтези,Драма (киножанр)","(['Йейтс, Дэвид'],)","Великобритания,США",,,2007,7.5
Гарри Поттер и Кубок огня,"Жанры игрового кино,Приключенческий фильм,Фэнтези,Триллер","(['Ньюэлл, Майк'],)","Великобритания,США",,,2005,7.7
Гарри Поттер и Дары Смерти. Часть 2,"Жанры игрового кино,Приключенческий фильм,Драма (жанр),Фэнтези,Боевик (киножанр),Экшн","(['Йейтс, Дэвид'],)","Великобритания,США",,,2011,8.1
Гарри Поттер и Дары Смерти. Часть 1,"Жанры игрового кино,Приключенческий фильм,Фэнтези,Боевик (киножанр),Драма (жанр)","(['Йейтс, Дэвид'],)","Великобритания,США",,,2010,7.7
"Где ты, Адам?","Жанры игрового кино,Документальный фильм","(['Александр Запорощенко (страница отсутствует)'],)",Украина,,,2019,8.0
"Где ты был, Одиссей?","Жанры игрового кино,Драма (жанр),Военный фильм,Шпионский фильм","(['Золоев, Тимур'],)",СССР,,,1978,5.6
Гекльберри Финн,"Жанры игрового кино,Детский фильм,Кинокомедия","(['Таурог, Норман'],)",,Соединённые Штаты Америки,1931,,6.3
Геклен,"Жанры игрового кино,Приключенческий фильм,Исторический фильм","(['Бернар де Латур (страница отсутствует)'],)",Франция,,,1948,6.2
Геката,"Жанры игрового кино,Драма (жанр),Мелодрама","(['Шмид, Даниэль'],)","Швейцария,Франция",,,1982,5.9
Гейша,"Жанры игрового кино,Драма (жанр)","(['Кэндзи Мидзогути'],)",Япония,,,1953,7.6
Геймер,"Жанры игрового кино,Кинофантастика,Боевик (киножанр)","(['Невелдайн, Марк', 'Тейлор, Брайан (кинорежиссёр)'],)",США,,,2009,5.7
Гейби,"Жанры игрового кино,Кинокомедия","([],)",США,,,2012,6.0
Гей-бар в маленьком городке,"Жанры игрового кино,Документальный фильм","([],)",,,,2006,7.1
Геи-ниггеры из далёкого космоса,"Жанры игрового кино,Научно-фантастический фильм,d:Q761469,Кинокомедия,Blaxploitation,Кинопародия,d:Q20442589,Короткометражный фильм","([],)",Дания,,,1992,5.8
Где-то там,"Жанры игрового кино,Документальное кино","(['Николаус Гейрхалтер (страница отсутствует)'],)",,Австрия,,2001,8.5
Где-то плачет иволга…,Жанры игрового кино,"(['Кеосаян, Эдмонд Гарегинович'],)",СССР,,,1982,5.3
Где-то есть сын,"Жанры игрового кино,Драма (жанр)","(['Войтецкий, Артур Иосифович'],)",СССР,,,1962,6.3
Где-то в ночи,"Жанры игрового кино,Триллер,Нуар","(['Джозеф Лео Манкевич'],)",США,,,1946,7.0
Где-то,"Жанры игрового кино,Кинокомедия,Драма (жанр)","(['Коппола, София'],)",США,,,2010,6.3
Где-нибудь я найду тебя,"Жанры игрового кино,Драма (жанр),Мелодрама,Военный фильм","(['Рагглз, Уэсли'],)",США,,,1942,6.1
"Где это видано, где это слыхано","Жанры игрового кино,Комедия","(['Валентин Горлов'],)",,Союз Советских Социалистических Республик,,,6.8
Где Фред?,"Жанры игрового кино,Кинокомедия,Мелодрама,Спортивный фильм","(['Анно Зауль (страница отсутствует)'],)",,Германия,"2006,16 ноября,2006", ,6.3
"Где угодно, только не здесь","Жанры игрового кино,Драма (жанр),Кинокомедия","(['Уэйн Ван'],)",,Соединённые Штаты Америки,,1999,6.2
"Где ты, моя Зульфия?","Жанры игрового кино,Мюзикл,Комедия","(['Хамраев, Али Иргашалиевич'],)",СССР,,,1964,5.7
"Где ты, любовь?","Жанры игрового кино,Музыкальный фильм","(['Гажиу, Валериу Георгиевич'],)",СССР,,,1980,6.4
"Где ты, Багира?",Жанры игрового кино,"(['Левин, Владимир Моисеевич'],)",СССР,,,1977,6.6
Где соприкасаются руки,"Жанры игрового кино,Драма (жанр)","([],)",,Великобритания,2018,,6.6
Где скрывается правда,"Жанры игрового кино,Драма (жанр),Триллер","(['Эгоян, Атом'],)","Канада,Великобритания",,,2005,6.4
Где свобода?,"Жанры игрового кино,Драма (жанр),Кинокомедия","(['Росселлини, Роберто'],)",Италия,,,1954,6.9
Где одного алиби мало,"Жанры игрового кино,Детектив,Криминал,Драма (жанр)","(['Чех, Владимир'],)",Чехословакия,,,1961,6.3
Где находится нофелет?,"Жанры игрового кино,Кинокомедия","(['Бежанов, Геральд Суренович'],)",СССР,,,1987,6.6
"Где моя тачка, чувак?","Жанры игрового кино,Кинофантастика,Кинокомедия","(['Дэнни Лейнер (страница отсутствует)'],)",США,,,2000,5.5
Где живёт опасность,"Жанры игрового кино,Фильм нуар","(['Джон Фэрроу'],)",США,,,1950,6.7
Где же мечты юности?,"Жанры игрового кино,Драма (жанр),Кинокомедия","(['Одзу, Ясудзиро'],)",Япония,,,1932,6.9
